run,p,topic,RBP,RBP_res,RBP’,RBP_res’
acsys7al,0.9,368,0.9344117001402026,7.2688449565623e-07,0.9344117001402026,7.2688449565623e-07
acsys7al,0.9,369,0.34278101043773207,4.869164835976257e-06,0.34278101043773207,1.1725126160104243e-05
acsys7al,0.9,370,0.6071747435569097,8.084183833087713e-07,0.6071747435569097,8.084183833087713e-07
acsys7al,0.9,371,0.15886493552861014,2.345967494706222e-06,0.15886493552861014,2.345967494706222e-06
acsys7al,0.9,372,0.5644129987496204,4.3762490977939364e-08,0.5644129987496204,4.3762490977939364e-08
acsys7al,0.9,373,0.4438748487816771,1.6766753151265794e-06,0.4438748487816771,1.6766769045229893e-06
acsys7al,0.9,374,0.31648968954380674,9.447676205244648e-09,0.31648968954380674,9.447676205244648e-09
acsys7al,0.9,375,0.5884009598394102,5.712097694581486e-07,0.5884009598394102,5.712097694581486e-07
acsys7al,0.9,376,0.38308095508344964,3.3794931014796716e-06,0.38308095508344964,3.3794931014796716e-06
acsys7al,0.9,377,0.520618201992624,2.0683247029573758e-08,0.520618201992624,2.0683247029573758e-08
acsys7al,0.9,378,0.13529821753326746,5.5898746753364245e-11,0.13529821753326746,5.5898746753364245e-11
acsys7al,0.9,379,0.48914112937761683,1.261792909498868e-06,0.48914112937761683,1.261792909498868e-06
acsys7al,0.9,380,0.23230960563309763,3.3856489567496313e-06,0.23230960563309763,3.3856489567496313e-06
acsys7al,0.9,381,0.10806353120538516,2.3487539816928475e-10,0.10806353120538516,2.3487539816928475e-10
acsys7al,0.9,382,0.6711121939683169,4.650596165067745e-08,0.6711121939683169,4.650596165067745e-08
acsys7al,0.9,383,0.013882076950199534,1.995876170331448e-06,0.013882076950199534,1.995876170331448e-06
acsys7al,0.9,384,0.2262533188988102,1.2919952543328085e-07,0.2262533188988102,1.2919952543328085e-07
acsys7al,0.9,385,0.6131896901689866,8.93640217008473e-08,0.6131896901689866,8.93640217008473e-08
acsys7al,0.9,386,0.07188554515455281,5.375716555175268e-06,0.07188554515455281,5.375716555175268e-06
acsys7al,0.9,387,0.3768946811215097,2.949767195387693e-07,0.3768946811215097,2.949767195387693e-07
acsys7al,0.9,388,0.4593980919347844,6.792379839206214e-07,0.4593980919347844,6.792379839206214e-07
acsys7al,0.9,389,0.04015207321888662,2.3264395984708844e-06,0.04015207321888662,2.3264395984708844e-06
acsys7al,0.9,390,0.7838702419864848,2.743591858682223e-06,0.7838702419864848,2.743591858682223e-06
acsys7al,0.9,391,0.03249994617870186,2.1999223110393117e-05,0.03249994617870186,0.0010995255895409738
acsys7al,0.9,392,0.6054741392319223,8.890483014146117e-08,0.6054741392319223,8.890483014146117e-08
acsys7al,0.9,393,0.6295882514614817,7.40379725154142e-08,0.6295882514614817,7.40379725154142e-08
acsys7al,0.9,394,0.11350851797275026,3.593673862873533e-06,0.11350851797275026,3.593673862873533e-06
acsys7al,0.9,395,0.3345127192382155,5.321872146425404e-10,0.3345127192382155,5.321872146425404e-10
acsys7al,0.9,396,0.8235353933002714,8.077175204194264e-07,0.8235353933002714,8.077175204194264e-07
acsys7al,0.9,397,0.04828019733027593,5.675047862696389e-06,0.04828019733027593,5.675047862696389e-06
acsys7al,0.9,398,0.7275195919757734,4.077385212194721e-06,0.7275195919757734,4.077385212194721e-06
acsys7al,0.9,399,0.5107367746475596,1.9675302406978635e-07,0.5107367746475596,9.569724810375244e-05
acsys7al,0.9,400,0.7444243875306655,1.7904407608484566e-07,0.7444243875306655,1.7904407608484566e-07
acsys7al,0.95,351,0.532780879424194,0.00027395596031992795,0.532780879424194,0.00027395596031992795
acsys7al,0.95,352,0.5728481237485804,0.0005760459763277524,0.5728481237485804,0.0005760459763277524
acsys7al,0.95,353,0.5880247204943329,0.0002716151078105622,0.5880247204943329,0.0002716151078105622
acsys7al,0.95,354,0.6390456960403583,9.958972422702026e-05,0.6390456960403583,9.958972422702026e-05
acsys7al,0.95,355,0.27717888188463946,0.00011176069975814662,0.27717888188463946,0.00011176069975814662
acsys7al,0.95,356,0.10221023027673866,0.0013734668741744668,0.10221023027673866,0.0013734668741744668
acsys7al,0.95,357,0.7433894204743549,0.00010019663057887602,0.7433894204743549,0.00010019663057887602
acsys7al,0.95,358,0.5069976725907404,5.6203959280826564e-05,0.5069976725907404,5.6203959280826564e-05
acsys7al,0.95,359,0.12304021573813703,0.00031765536752070806,0.12304021573813703,0.00031765536752070806
acsys7al,0.95,360,0.4736440317168371,0.0009789473158055458,0.4736440317168371,0.0009789473158055458
acsys7al,0.95,361,0.2509026938075012,0.0009314951329086125,0.2509026938075012,0.0009314951329086125
acsys7al,0.95,362,0.44899730708128893,5.4879926516320114e-06,0.44899730708128893,5.4879926516320114e-06
acsys7al,0.95,363,0.03318539905942748,9.650870033575704e-06,0.03318539905942748,9.650870033575704e-06
